"HolderAddress","Balance","PendingBalanceUpdate"
"0x2a52b0050459cc4e9c1b50d8e0826755a9fa3326","1000","No"
"0x2a8c653439f4e479089ccaca69b025279ac1a415","1000","No"
"0x2ae82657ec1ec17b25f564cc500dac2a55c5c623","1000","No"
"0x2b18233fb4306a705471a7271c018ce0ff7dd754","1000","No"
"0x2bc2ca2a7b3e6edef35223a211ac3b0b9b8d4346","1000","No"
"0x2be0628ca4cd0105de98c8cc6f8e4ebbf222783a","1000","No"
"0x2e40e6c5a91a66728baa76c717c988f170ea61db","1000","No"
"0x2e44a820d77b013afa75766953b2f819e33a19c1","6000","No"
"0x2fba909aed4345ac0c67c75c51d955f822b14629","1000","No"
"0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd","1000","No"
"0x303052148a78a692d7aa89bad454f3e91785488d","1000","No"
"0x30602250c5f1fcba5407e99b1dfaab992ea4ffd2","1000","No"
"0x3128f5e622781af0757b8085bc1ae694519a9340","1000","No"
"0x31e99699bccde902afc7c4b6b23bb322b8459d22","11000","No"
"0x321ed5739440bdbd731d54a19aa20b18398d374f","1000","No"
"0x324f6ead99aeda8b0083a4445e8df08a342e22e1","3742.8618","No"
"0x3282f7a8d396fd37927a63897fa9ca98178ec480","1000","No"
"0x32cabeda98a9f11df73e6e2402128546baccc97b","1000","No"
"0x3328f5f2cecaf00a2443082b657cedeaf70bfaef","5.0006","No"
"0x33c2656b7b33461f346f697d998d89a110eb42ef","1000","No"
"0x3451a16bc9c5410438114d406eeb320fd6e6ebf1","1000","No"
"0x34c1116678b62fd7ca548eea729d60ab1a566b39","1000","No"
"0x359355a35f0a1410b2afbf8790a42fefda134622","1000","No"
"0x35937462a74d3c64b173a755a40c916e912a8eb5","1000","No"
"0x35f34185f753d5fef739d46dba7a26b2bd88c83d","1000","No"
"0x35f64560c51c8772f75186a8931929589b7c8d80","1000","No"
"0x3676eae386ce3a858e42e306383253b12ba81773","3087.2114","No"
"0x37438ee973de2942067b48036c2341a23bd19290","3000","No"
"0x377a75c4ef92502fe40d2b454f0c3829b8c0ffc5","1000","No"
"0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec92","2000","No"
"0x37c698b808b18bb5aaa91ddf92ef04d6e7d4f99e","3000","No"
"0x381636d0e4ed0fa6acf07d8fd821909fb63c0d10","1000","No"
"0x38612736666162fa19bab833e4cc27a64699d6cb","1000","No"
"0x38a161d47f01b375f505fcb13e73a315819c7eb3","1000","No"
"0x38a4d889a1979133fbc1d58f970f0953e3715c26","11000","No"
"0x38e718a4fc640550d2c7be13b65766ccf4afe4a9","1000","No"
"0x38e71c42dbee9b368f93c1278b8ce0b4aac44b29","3000","No"
"0x398a20f8a91a7406343e75f4ac1eaad6902d3862","1000","No"
"0x39f9df59beff4a468ec337a0e431b1b8eaa0c24c","354.2307","No"
"0x3a0fb26706e31b1dcc64d80658c5490987eaf492","1000","No"
"0x3a49309413793b32f6a308769220147fedbffa5f","1000","No"
"0x3a9e26e2f92dfd2a802d5656c1d97d15e03382c7","1000","No"
"0x3b2a5889c5921db89a2a9da1102d6b44bf168087","1000","No"
"0x3b6f8f26ee32006ca8a0806494f96c234939c2e2","1000","No"
"0x3bbbcbc1c0b584f61ed746096e7b67c6bc2dac93","1000","No"
"0x3be79b778932927d4e6266db4d2f0f4873aa312f","375","No"
"0x3c1d6deb260a173059e030fa29d053545e7bc821","3000","No"
"0x3c3cab03c83e48e2e773ef5fc86f52ad2b15a5b0","1000","No"
"0x3c47212bc5b278f51e98f1a40f684eec6446b93c","1000","No"
"0x3c727446475cc634c20ba06619edde6045df0f95","1000","No"
"0x3c8cf14750960925ed386f837657632318b83494","1000","No"
"0x3d68bcbc90d45d2e37bf751cb839b9182049b483","1000","No"
"0x3d6c8d09f33873c73ad60b54f1486cac3c2647a2","1000","No"
"0x3d9fe7337f067dd52d1dc8cb45490b1ad6c2f65b","3000","No"
"0x3da48c5e033edc7dbb3bcc1e68293753c1ce9cf6","1000","No"
"0x3e1e99e4c9b2ec914f814d6496ede63b870da5ed","1000","No"
"0x3e1f1fc109b0130a8ba13a1546c713d030b8613f","1000","No"
"0x3e81ea3a8a2d0b71a85468b02be83d09bfffe476","1000","No"
"0x3edd845c9940ff3042a12449d53006a9296df596","1000","No"
"0x3f47d53aeb29e695b233459377b1cc14a781d60d","1000","No"
"0x3f7dd0b106b10d06bb4813715b4e24d9e626dd64","1000","No"
"0x401cbf2194d35d078c0bcdae4bea42275483ab5f","1000","No"
"0x4033b430106c02db2278022e48c30cded35c9e42","1000","No"
"0x403afdf9ea925d3b48e719a44610da1679a57651","1000","No"
"0x407d1349a1179472c29dc58431ce9bfca3f5fecd","5000","No"
"0x40b767d119dbc81547cc13c6c55b6ed40a6506f1","1000","No"
"0x411f43017d10aae605092c68efd4ffdb355fc98b","1000","No"
"0x412b52644c50aa6b4d704318db37537a33fc01b2","1000","No"
"0x41bf39033c732f884a52ddf38f647ad63457ceec","1000","No"
"0x41fec248777efa4bdba27108cef74da24b74a4bb","1000","No"
"0x423a0a0f3479ab24b2b04c8dba8bbe0e2bbb5cc6","1000","No"
"0x4322aa46ffed67809862da613725728e2fb8eae3","1000","No"
"0x4370b38b264dde1bf04699f4649cedfc2aec386a","1000","No"
"0x437f345ffa05e28b0730a505bc424593e0a27f0d","500","No"
"0x4390b56cf36233be3079942022af6cbe453d6086","1000","No"
"0x44ed32b27aebf445c209dab3ea7e3a9d50f37b2a","1000","No"
"0x450ee356ad372cc77d3fc329a472326633232b30","1000","No"
"0x4530307f98208d3bd5b9631880bc7351770c8810","1000","No"
"0x45d28aa363ff215b4c6b6a212dc610f004272bb5","6600","No"
"0x475566f2b32f98a8fb8ddfaf184dc522d0701f72","1000","No"
"0x4897d38b0974051d8fa34364e37a5993f4a966a5","1000","No"
"0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0","1000","No"
"0x48d1f7e41070fc0bb0e36925a68db1350088c54e","1000","No"
